time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220107:1730,0.0,0.0,0.0,15.97,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220107:1830,0.0,0.0,0.0,15.53,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220107:1930,0.0,0.0,0.0,15.34,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220107:2030,0.0,0.0,0.0,15.0,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220107:2130,0.0,0.0,0.0,14.86,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220107:2230,0.0,0.0,0.0,14.76,0.69,0.0,Nuwara Eliya,6.97078,80.78286
20220107:2330,0.0,0.0,0.0,14.59,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0030,0.0,0.0,-5.69,14.66,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0130,71.14,120.41,8.05,14.91,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0230,256.88,330.57,21.5,16.5,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0330,428.61,536.89,34.4,18.33,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0430,534.44,674.02,46.19,19.37,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0530,422.33,528.67,55.71,20.18,1.79,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0630,666.87,862.1,60.6,20.38,1.86,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0730,637.15,827.33,58.62,21.06,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0830,491.88,625.48,50.8,20.52,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220108:0930,316.01,397.14,39.81,19.35,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1030,238.83,305.4,27.31,19.04,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1130,57.85,90.22,14.06,18.28,1.31,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1230,0.0,5.22,0.42,17.6,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1330,0.0,0.0,0.0,17.16,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1430,0.0,0.0,0.0,16.8,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1530,0.0,0.0,0.0,16.64,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1630,0.0,0.0,0.0,16.36,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1730,0.0,0.0,0.0,16.23,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1830,0.0,0.0,0.0,16.07,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220108:1930,0.0,0.0,0.0,15.99,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220108:2030,0.0,0.0,0.0,15.94,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220108:2130,0.0,0.0,0.0,15.85,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220108:2230,0.0,0.0,0.0,15.91,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220108:2330,0.0,0.0,0.0,15.77,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0030,0.0,0.0,-5.77,15.74,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0130,49.79,89.47,7.98,15.87,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0230,179.79,234.71,21.45,16.65,1.66,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0330,357.91,443.78,34.37,17.56,1.72,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0430,435.67,544.26,46.21,18.58,1.52,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0530,283.58,358.41,55.77,19.65,1.79,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0630,544.29,691.5,60.72,19.07,1.59,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0730,328.5,412.63,58.78,20.47,1.79,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0830,225.58,287.27,50.97,19.72,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220109:0930,229.81,292.31,39.96,19.12,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1030,194.97,252.38,27.44,19.11,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1130,81.68,119.14,14.18,18.83,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1230,1.2,8.75,0.53,18.03,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1330,0.0,0.0,0.0,17.07,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1430,0.0,0.0,0.0,16.88,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1530,0.0,0.0,0.0,16.82,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1630,0.0,0.0,0.0,16.49,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1730,0.0,0.0,0.0,16.42,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1830,0.0,0.0,0.0,16.23,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220109:1930,0.0,0.0,0.0,15.81,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220109:2030,0.0,0.0,0.0,15.71,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220109:2130,0.0,0.0,0.0,15.67,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220109:2230,0.0,0.0,0.0,15.59,0.55,0.0,Nuwara Eliya,6.97078,80.78286
20220109:2330,0.0,0.0,0.0,15.69,0.69,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0030,0.0,0.0,-5.85,15.79,0.62,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0130,3.17,12.62,7.92,15.79,0.48,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0230,13.28,28.67,21.41,16.07,0.69,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0330,37.02,60.26,34.35,16.43,0.69,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0430,49.53,76.13,46.22,16.53,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0530,82.27,115.97,55.84,16.68,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0630,206.41,262.89,60.86,17.11,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0730,107.48,147.12,58.95,18.67,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0830,167.35,216.43,51.13,18.3,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220110:0930,50.51,77.97,40.11,18.56,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1030,82.12,115.98,27.58,17.7,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1130,17.8,36.3,14.3,17.76,1.17,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1230,0.0,3.48,0.64,17.03,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1330,0.0,0.0,0.0,16.86,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1430,0.0,0.0,0.0,16.72,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1530,0.0,0.0,0.0,16.56,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1630,0.0,0.0,0.0,16.54,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1730,0.0,0.0,0.0,16.44,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1830,0.0,0.0,0.0,16.23,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220110:1930,0.0,0.0,0.0,15.4,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220110:2030,0.0,0.0,0.0,15.11,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220110:2130,0.0,0.0,0.0,14.9,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220110:2230,0.0,0.0,0.0,14.9,1.03,0.0,Nuwara Eliya,6.97078,80.78286
20220110:2330,0.0,0.0,0.0,14.89,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0030,0.0,0.0,-5.93,14.85,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0130,67.75,116.71,7.86,15.14,0.97,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0230,270.0,347.82,21.37,16.52,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0330,445.12,559.58,34.34,18.29,1.1,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0430,509.06,642.54,46.24,19.43,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0530,531.03,672.32,55.91,20.2,1.59,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0630,585.42,749.83,61.0,20.48,1.45,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0730,505.92,643.69,59.13,20.69,1.24,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0830,471.95,598.03,51.31,20.26,0.9,0.0,Nuwara Eliya,6.97078,80.78286
20220111:0930,331.37,419.39,40.27,20.57,0.62,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1030,213.09,274.89,27.72,19.62,0.62,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1130,71.1,107.47,14.43,19.15,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1230,0.62,7.4,0.75,18.46,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1330,0.0,0.0,0.0,17.92,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1430,0.0,0.0,0.0,17.39,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1530,0.0,0.0,0.0,17.0,0.76,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1630,0.0,0.0,0.0,16.75,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1730,0.0,0.0,0.0,16.59,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1830,0.0,0.0,0.0,16.57,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:1930,0.0,0.0,0.0,16.74,0.83,0.0,Nuwara Eliya,6.97078,80.78286
20220111:2030,0.0,0.0,0.0,16.79,0.76,0.0,Nuwara Eliya,6.97078,80.78286
