time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220311:0630,650.57,892.82,77.62,29.74,1.45,0.0,Polonnaruwa,7.93965,81.00274
20220311:0730,655.49,894.44,74.13,30.38,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220311:0830,613.59,826.19,61.74,30.76,2.21,0.0,Polonnaruwa,7.93965,81.00274
20220311:0930,527.68,699.28,47.66,30.61,2.48,0.0,Polonnaruwa,7.93965,81.00274
20220311:1030,353.61,465.03,33.13,30.02,2.97,0.0,Polonnaruwa,7.93965,81.00274
20220311:1130,149.53,216.57,18.42,29.31,3.31,0.0,Polonnaruwa,7.93965,81.00274
20220311:1230,8.77,35.66,3.63,28.23,2.97,0.0,Polonnaruwa,7.93965,81.00274
20220311:1330,0.0,0.0,0.0,27.12,2.41,0.0,Polonnaruwa,7.93965,81.00274
20220311:1430,0.0,0.0,0.0,26.39,1.93,0.0,Polonnaruwa,7.93965,81.00274
20220311:1530,0.0,0.0,0.0,25.79,1.52,0.0,Polonnaruwa,7.93965,81.00274
20220311:1630,0.0,0.0,0.0,25.1,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220311:1730,0.0,0.0,0.0,24.72,0.76,0.0,Polonnaruwa,7.93965,81.00274
20220311:1830,0.0,0.0,0.0,24.25,0.76,0.0,Polonnaruwa,7.93965,81.00274
20220311:1930,0.0,0.0,0.0,24.04,1.38,0.0,Polonnaruwa,7.93965,81.00274
20220311:2030,0.0,0.0,0.0,23.96,1.1,0.0,Polonnaruwa,7.93965,81.00274
20220311:2130,0.0,0.0,0.0,23.76,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220311:2230,0.0,0.0,0.0,23.59,0.97,0.0,Polonnaruwa,7.93965,81.00274
20220311:2330,0.0,0.0,0.0,23.41,0.83,0.0,Polonnaruwa,7.93965,81.00274
20220312:0030,0.0,0.0,-4.54,23.0,0.83,0.0,Polonnaruwa,7.93965,81.00274
20220312:0130,64.56,114.92,10.28,22.87,0.69,0.0,Polonnaruwa,7.93965,81.00274
20220312:0230,229.57,308.08,25.05,24.42,0.48,0.0,Polonnaruwa,7.93965,81.00274
20220312:0330,363.13,478.51,39.72,25.88,0.07,0.0,Polonnaruwa,7.93965,81.00274
20220312:0430,517.69,690.89,54.14,27.38,0.69,0.0,Polonnaruwa,7.93965,81.00274
20220312:0530,617.45,833.75,67.85,28.82,1.45,0.0,Polonnaruwa,7.93965,81.00274
20220312:0630,634.1,858.6,78.02,29.89,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220312:0730,545.86,726.74,74.37,30.25,2.34,0.0,Polonnaruwa,7.93965,81.00274
20220312:0830,494.32,639.44,61.84,27.73,2.97,0.0,Polonnaruwa,7.93965,81.00274
20220312:0930,275.68,359.25,47.7,28.11,2.28,0.0,Polonnaruwa,7.93965,81.00274
20220312:1030,269.71,353.76,33.14,27.55,2.28,0.0,Polonnaruwa,7.93965,81.00274
20220312:1130,130.37,188.33,18.42,27.09,2.28,0.0,Polonnaruwa,7.93965,81.00274
20220312:1230,5.99,23.77,3.62,26.48,1.79,0.0,Polonnaruwa,7.93965,81.00274
20220312:1330,0.0,0.0,0.0,25.61,1.45,0.0,Polonnaruwa,7.93965,81.00274
20220312:1430,0.0,0.0,0.0,24.52,1.31,0.0,Polonnaruwa,7.93965,81.00274
20220312:1530,0.0,0.0,0.0,24.02,0.62,0.0,Polonnaruwa,7.93965,81.00274
20220312:1630,0.0,0.0,0.0,23.83,0.55,0.0,Polonnaruwa,7.93965,81.00274
20220312:1730,0.0,0.0,0.0,23.95,0.62,0.0,Polonnaruwa,7.93965,81.00274
20220312:1830,0.0,0.0,0.0,23.67,0.83,0.0,Polonnaruwa,7.93965,81.00274
20220312:1930,0.0,0.0,0.0,23.57,1.03,0.0,Polonnaruwa,7.93965,81.00274
20220312:2030,0.0,0.0,0.0,23.52,1.1,0.0,Polonnaruwa,7.93965,81.00274
20220312:2130,0.0,0.0,0.0,23.49,0.97,0.0,Polonnaruwa,7.93965,81.00274
20220312:2230,0.0,0.0,0.0,23.57,0.9,0.0,Polonnaruwa,7.93965,81.00274
20220312:2330,0.0,0.0,0.0,23.71,0.83,0.0,Polonnaruwa,7.93965,81.00274
20220313:0030,0.0,0.0,-4.42,23.85,0.76,0.0,Polonnaruwa,7.93965,81.00274
20220313:0130,30.51,56.65,10.41,23.87,0.76,0.0,Polonnaruwa,7.93965,81.00274
20220313:0230,134.44,186.05,25.19,24.4,0.48,0.0,Polonnaruwa,7.93965,81.00274
20220313:0330,313.15,408.27,39.87,25.16,0.34,0.0,Polonnaruwa,7.93965,81.00274
