time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220508:1030,155.12,214.13,32.19,30.42,4.14,0.0,Anuradhapura,8.31223,80.41306
20220508:1130,75.13,115.07,17.86,29.86,3.79,0.0,Anuradhapura,8.31223,80.41306
20220508:1230,6.82,19.86,3.59,29.26,3.45,0.0,Anuradhapura,8.31223,80.41306
20220508:1330,0.0,0.0,0.0,28.58,3.45,0.0,Anuradhapura,8.31223,80.41306
20220508:1430,0.0,0.0,0.0,28.09,3.31,0.0,Anuradhapura,8.31223,80.41306
20220508:1530,0.0,0.0,0.0,27.74,3.1,0.0,Anuradhapura,8.31223,80.41306
20220508:1630,0.0,0.0,0.0,27.46,3.1,0.0,Anuradhapura,8.31223,80.41306
20220508:1730,0.0,0.0,0.0,27.21,3.31,0.0,Anuradhapura,8.31223,80.41306
20220508:1830,0.0,0.0,0.0,27.05,3.59,0.0,Anuradhapura,8.31223,80.41306
20220508:1930,0.0,0.0,0.0,27.23,4.41,0.0,Anuradhapura,8.31223,80.41306
20220508:2030,0.0,0.0,0.0,27.15,4.41,0.0,Anuradhapura,8.31223,80.41306
20220508:2130,0.0,0.0,0.0,27.02,4.62,0.0,Anuradhapura,8.31223,80.41306
20220508:2230,0.0,0.0,0.0,26.82,4.55,0.0,Anuradhapura,8.31223,80.41306
20220508:2330,0.0,0.0,0.0,26.66,4.41,0.0,Anuradhapura,8.31223,80.41306
20220509:0030,3.34,13.39,1.34,26.5,4.28,0.0,Anuradhapura,8.31223,80.41306
20220509:0130,81.66,128.35,15.57,26.42,4.07,0.0,Anuradhapura,8.31223,80.41306
20220509:0230,240.5,318.83,29.87,26.99,4.21,0.0,Anuradhapura,8.31223,80.41306
20220509:0330,391.1,501.8,44.17,28.34,6.07,0.0,Anuradhapura,8.31223,80.41306
20220509:0430,498.21,642.1,58.31,29.66,5.79,0.0,Anuradhapura,8.31223,80.41306
20220509:0530,630.95,825.83,71.81,30.72,5.59,0.0,Anuradhapura,8.31223,80.41306
20220509:0630,523.88,689.02,80.87,31.78,5.72,0.0,Anuradhapura,8.31223,80.41306
20220509:0730,488.83,641.83,73.8,31.74,5.66,0.0,Anuradhapura,8.31223,80.41306
20220509:0830,434.05,566.84,60.55,31.79,6.07,0.0,Anuradhapura,8.31223,80.41306
20220509:0930,262.53,346.02,46.45,31.11,6.41,0.0,Anuradhapura,8.31223,80.41306
20220509:1030,217.31,290.55,32.17,30.03,6.41,0.0,Anuradhapura,8.31223,80.41306
20220509:1130,87.14,131.24,17.86,29.23,5.86,0.0,Anuradhapura,8.31223,80.41306
20220509:1230,8.64,23.15,3.61,28.44,4.9,0.0,Anuradhapura,8.31223,80.41306
20220509:1330,0.0,0.0,0.0,27.68,4.97,0.0,Anuradhapura,8.31223,80.41306
20220509:1430,0.0,0.0,0.0,27.07,5.03,0.0,Anuradhapura,8.31223,80.41306
20220509:1530,0.0,0.0,0.0,26.54,4.97,0.0,Anuradhapura,8.31223,80.41306
20220509:1630,0.0,0.0,0.0,25.92,4.69,0.0,Anuradhapura,8.31223,80.41306
20220509:1730,0.0,0.0,0.0,25.55,4.41,0.0,Anuradhapura,8.31223,80.41306
20220509:1830,0.0,0.0,0.0,25.34,4.69,0.0,Anuradhapura,8.31223,80.41306
20220509:1930,0.0,0.0,0.0,25.93,6.83,0.0,Anuradhapura,8.31223,80.41306
20220509:2030,0.0,0.0,0.0,26.06,5.93,0.0,Anuradhapura,8.31223,80.41306
20220509:2130,0.0,0.0,0.0,26.19,5.38,0.0,Anuradhapura,8.31223,80.41306
20220509:2230,0.0,0.0,0.0,26.27,4.97,0.0,Anuradhapura,8.31223,80.41306
20220509:2330,0.0,0.0,0.0,26.19,4.9,0.0,Anuradhapura,8.31223,80.41306
20220510:0030,4.19,14.97,1.38,26.15,4.9,0.0,Anuradhapura,8.31223,80.41306
20220510:0130,85.64,130.34,15.6,26.32,4.97,0.0,Anuradhapura,8.31223,80.41306
20220510:0230,228.78,301.68,29.88,26.77,6.62,0.0,Anuradhapura,8.31223,80.41306
20220510:0330,367.57,469.27,44.15,28.05,7.1,0.0,Anuradhapura,8.31223,80.41306
20220510:0430,457.43,585.37,58.26,29.44,6.9,0.0,Anuradhapura,8.31223,80.41306
20220510:0530,572.87,740.57,71.7,30.55,6.76,0.0,Anuradhapura,8.31223,80.41306
20220510:0630,615.32,801.66,80.61,31.34,6.55,0.0,Anuradhapura,8.31223,80.41306
20220510:0730,567.67,746.3,73.65,31.71,4.83,0.0,Anuradhapura,8.31223,80.41306
20220510:0830,452.29,589.16,60.47,31.79,4.83,0.0,Anuradhapura,8.31223,80.41306
20220510:0930,370.01,481.73,46.41,30.6,4.28,0.0,Anuradhapura,8.31223,80.41306
20220510:1030,274.49,366.58,32.15,30.83,4.14,0.0,Anuradhapura,8.31223,80.41306
20220510:1130,106.14,167.38,17.86,30.78,3.79,0.0,Anuradhapura,8.31223,80.41306
20220510:1230,3.4,15.86,3.63,29.9,3.31,0.0,Anuradhapura,8.31223,80.41306
20220510:1330,0.0,0.0,0.0,28.83,3.59,0.0,Anuradhapura,8.31223,80.41306
20220510:1430,0.0,0.0,0.0,28.02,3.86,0.0,Anuradhapura,8.31223,80.41306
20220510:1530,0.0,0.0,0.0,27.47,4.0,0.0,Anuradhapura,8.31223,80.41306
20220510:1630,0.0,0.0,0.0,27.18,4.07,0.0,Anuradhapura,8.31223,80.41306
20220510:1730,0.0,0.0,0.0,26.88,4.07,0.0,Anuradhapura,8.31223,80.41306
20220510:1830,0.0,0.0,0.0,26.33,4.48,0.0,Anuradhapura,8.31223,80.41306
20220510:1930,0.0,0.0,0.0,26.61,4.9,0.0,Anuradhapura,8.31223,80.41306
20220510:2030,0.0,0.0,0.0,26.38,5.03,0.0,Anuradhapura,8.31223,80.41306
20220510:2130,0.0,0.0,0.0,26.17,5.17,0.0,Anuradhapura,8.31223,80.41306
20220510:2230,0.0,0.0,0.0,25.96,5.31,0.0,Anuradhapura,8.31223,80.41306
