time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20231124:1930,0.0,0.0,0.0,24.82,1.52,0.0,Vavuniya,8.7514,80.4971
20231124:2030,0.0,0.0,0.0,24.75,1.45,0.0,Vavuniya,8.7514,80.4971
20231124:2130,0.0,0.0,0.0,24.52,1.52,0.0,Vavuniya,8.7514,80.4971
20231124:2230,0.0,0.0,0.0,24.35,1.45,0.0,Vavuniya,8.7514,80.4971
20231124:2330,0.0,0.0,0.0,24.33,1.59,0.0,Vavuniya,8.7514,80.4971
20231125:0030,0.0,0.0,-2.03,24.21,1.59,0.0,Vavuniya,8.7514,80.4971
20231125:0130,97.49,152.34,11.72,24.16,1.72,0.0,Vavuniya,8.7514,80.4971
20231125:0230,259.4,338.33,25.1,24.94,3.1,0.0,Vavuniya,8.7514,80.4971
20231125:0330,404.77,517.66,37.78,26.36,3.17,0.0,Vavuniya,8.7514,80.4971
20231125:0430,463.22,594.85,49.09,27.43,3.24,0.0,Vavuniya,8.7514,80.4971
20231125:0530,495.65,641.06,57.53,28.11,3.24,0.0,Vavuniya,8.7514,80.4971
20231125:0630,501.33,653.13,60.51,28.72,3.38,0.0,Vavuniya,8.7514,80.4971
20231125:0730,478.73,625.11,56.53,29.35,2.97,0.0,Vavuniya,8.7514,80.4971
20231125:0830,374.8,485.73,47.51,29.17,3.17,0.0,Vavuniya,8.7514,80.4971
20231125:0930,281.69,365.13,35.93,27.92,3.24,0.0,Vavuniya,8.7514,80.4971
20231125:1030,206.6,278.58,23.1,28.0,2.9,0.0,Vavuniya,8.7514,80.4971
20231125:1130,58.96,103.24,9.65,27.84,2.55,0.0,Vavuniya,8.7514,80.4971
20231125:1230,0.0,0.0,-4.14,26.9,2.34,0.0,Vavuniya,8.7514,80.4971
20231125:1330,0.0,0.0,0.0,26.15,2.34,0.0,Vavuniya,8.7514,80.4971
20231125:1430,0.0,0.0,0.0,25.64,2.41,0.0,Vavuniya,8.7514,80.4971
20231125:1530,0.0,0.0,0.0,25.16,2.41,0.0,Vavuniya,8.7514,80.4971
20231125:1630,0.0,0.0,0.0,24.94,2.14,0.0,Vavuniya,8.7514,80.4971
20231125:1730,0.0,0.0,0.0,24.6,1.93,0.0,Vavuniya,8.7514,80.4971
20231125:1830,0.0,0.0,0.0,24.32,1.52,0.0,Vavuniya,8.7514,80.4971
20231125:1930,0.0,0.0,0.0,24.46,2.14,0.0,Vavuniya,8.7514,80.4971
20231125:2030,0.0,0.0,0.0,24.37,1.93,0.0,Vavuniya,8.7514,80.4971
20231125:2130,0.0,0.0,0.0,24.13,1.59,0.0,Vavuniya,8.7514,80.4971
20231125:2230,0.0,0.0,0.0,23.93,1.52,0.0,Vavuniya,8.7514,80.4971
