time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220507:1430,0.0,0.0,0.0,29.66,2.14,0.0,Ampara,7.29754,81.68202
20220507:1530,0.0,0.0,0.0,29.21,1.93,0.0,Ampara,7.29754,81.68202
20220507:1630,0.0,0.0,0.0,28.87,1.79,0.0,Ampara,7.29754,81.68202
20220507:1730,0.0,0.0,0.0,28.61,1.86,0.0,Ampara,7.29754,81.68202
20220507:1830,0.0,0.0,0.0,28.28,1.59,0.0,Ampara,7.29754,81.68202
20220507:1930,0.0,0.0,0.0,28.81,0.28,0.0,Ampara,7.29754,81.68202
20220507:2030,0.0,0.0,0.0,28.48,0.41,0.0,Ampara,7.29754,81.68202
20220507:2130,0.0,0.0,0.0,27.12,0.9,0.0,Ampara,7.29754,81.68202
20220507:2230,0.0,0.0,0.0,26.06,1.24,0.0,Ampara,7.29754,81.68202
20220507:2330,0.0,0.0,0.0,25.74,1.24,0.0,Ampara,7.29754,81.68202
20220508:0030,5.04,16.46,2.19,25.32,1.38,0.0,Ampara,7.29754,81.68202
20220508:0130,77.98,117.89,16.47,25.61,1.31,0.0,Ampara,7.29754,81.68202
20220508:0230,213.78,288.81,30.81,27.86,1.03,0.0,Ampara,7.29754,81.68202
20220508:0330,362.72,484.05,45.1,29.23,0.76,0.0,Ampara,7.29754,81.68202
20220508:0430,534.2,736.86,59.18,30.73,0.34,0.0,Ampara,7.29754,81.68202
20220508:0530,588.66,830.15,72.43,32.46,0.41,0.0,Ampara,7.29754,81.68202
20220508:0630,594.2,833.19,80.2,33.64,0.97,0.0,Ampara,7.29754,81.68202
20220508:0730,463.78,635.14,72.34,34.35,1.93,0.0,Ampara,7.29754,81.68202
20220508:0830,299.01,405.91,59.09,34.33,2.14,0.0,Ampara,7.29754,81.68202
20220508:0930,272.13,370.53,45.0,33.78,1.79,0.0,Ampara,7.29754,81.68202
20220508:1030,130.66,187.37,30.71,33.64,1.66,0.0,Ampara,7.29754,81.68202
20220508:1130,61.69,99.0,16.37,32.51,1.1,0.0,Ampara,7.29754,81.68202
20220508:1230,2.21,11.37,2.09,32.08,0.55,0.0,Ampara,7.29754,81.68202
20220508:1330,0.0,0.0,0.0,32.28,0.48,0.0,Ampara,7.29754,81.68202
20220508:1430,0.0,0.0,0.0,31.19,0.55,0.0,Ampara,7.29754,81.68202
20220508:1530,0.0,0.0,0.0,31.01,0.41,0.0,Ampara,7.29754,81.68202
20220508:1630,0.0,0.0,0.0,30.48,0.48,0.0,Ampara,7.29754,81.68202
20220508:1730,0.0,0.0,0.0,29.98,0.21,0.0,Ampara,7.29754,81.68202
20220508:1830,0.0,0.0,0.0,28.28,0.76,0.0,Ampara,7.29754,81.68202
20220508:1930,0.0,0.0,0.0,27.34,1.72,0.0,Ampara,7.29754,81.68202
20220508:2030,0.0,0.0,0.0,26.95,1.38,0.0,Ampara,7.29754,81.68202
20220508:2130,0.0,0.0,0.0,26.85,1.52,0.0,Ampara,7.29754,81.68202
20220508:2230,0.0,0.0,0.0,26.34,1.31,0.0,Ampara,7.29754,81.68202
20220508:2330,0.0,0.0,0.0,26.0,1.24,0.0,Ampara,7.29754,81.68202
20220509:0030,4.22,15.02,2.23,25.86,1.24,0.0,Ampara,7.29754,81.68202
20220509:0130,104.81,163.87,16.5,26.18,1.03,0.0,Ampara,7.29754,81.68202
20220509:0230,269.41,364.34,30.81,28.73,0.83,0.0,Ampara,7.29754,81.68202
20220509:0330,435.88,585.62,45.08,30.23,0.76,0.0,Ampara,7.29754,81.68202
20220509:0430,536.74,734.35,59.13,31.88,1.03,0.0,Ampara,7.29754,81.68202
20220509:0530,576.79,797.53,72.29,33.14,1.38,0.0,Ampara,7.29754,81.68202
20220509:0630,607.5,850.32,79.93,34.13,1.45,0.0,Ampara,7.29754,81.68202
20220509:0730,551.98,757.77,72.19,35.5,2.48,0.0,Ampara,7.29754,81.68202
20220509:0830,482.97,655.94,59.01,35.66,2.62,0.0,Ampara,7.29754,81.68202
20220509:0930,357.77,484.7,44.96,35.55,2.69,0.0,Ampara,7.29754,81.68202
20220509:1030,230.56,319.2,30.68,34.9,2.55,0.0,Ampara,7.29754,81.68202
20220509:1130,95.53,152.27,16.37,34.04,2.21,0.0,Ampara,7.29754,81.68202
20220509:1230,4.8,16.46,2.11,32.88,2.07,0.0,Ampara,7.29754,81.68202
20220509:1330,0.0,0.0,0.0,31.48,1.86,0.0,Ampara,7.29754,81.68202
20220509:1430,0.0,0.0,0.0,30.44,1.66,0.0,Ampara,7.29754,81.68202
20220509:1530,0.0,0.0,0.0,29.78,1.86,0.0,Ampara,7.29754,81.68202
20220509:1630,0.0,0.0,0.0,29.11,1.93,0.0,Ampara,7.29754,81.68202
20220509:1730,0.0,0.0,0.0,28.4,1.66,0.0,Ampara,7.29754,81.68202
