time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220803:1930,0.0,0.0,0.0,24.83,8.34,0.0,Matara,5.94851,80.53528
20220803:2030,0.0,0.0,0.0,25.09,8.0,0.0,Matara,5.94851,80.53528
20220803:2130,0.0,0.0,0.0,25.05,7.38,0.0,Matara,5.94851,80.53528
20220803:2230,0.0,0.0,0.0,25.07,8.0,0.0,Matara,5.94851,80.53528
20220803:2330,0.0,0.0,0.0,24.93,7.45,0.0,Matara,5.94851,80.53528
20220804:0030,0.0,0.0,-1.53,25.38,7.17,0.0,Matara,5.94851,80.53528
20220804:0130,61.98,110.91,12.75,25.67,6.76,0.0,Matara,5.94851,80.53528
20220804:0230,207.93,278.39,27.06,25.21,6.55,0.0,Matara,5.94851,80.53528
20220804:0330,406.09,515.35,41.33,27.26,6.83,0.0,Matara,5.94851,80.53528
20220804:0430,495.16,626.09,55.39,28.14,7.31,0.0,Matara,5.94851,80.53528
20220804:0530,460.34,575.25,68.68,26.84,7.79,0.0,Matara,5.94851,80.53528
20220804:0630,588.1,744.01,78.16,26.84,7.38,0.0,Matara,5.94851,80.53528
20220804:0730,633.19,803.16,74.01,27.72,8.14,0.0,Matara,5.94851,80.53528
20220804:0830,597.53,754.08,61.7,27.48,8.14,0.0,Matara,5.94851,80.53528
20220804:0930,407.15,513.77,47.88,27.36,8.28,0.0,Matara,5.94851,80.53528
20220804:1030,305.99,393.71,33.68,26.68,8.07,0.0,Matara,5.94851,80.53528
20220804:1130,126.3,184.82,19.37,26.36,7.93,0.0,Matara,5.94851,80.53528
20220804:1230,8.21,25.69,5.06,26.29,7.59,0.0,Matara,5.94851,80.53528
20220804:1330,0.0,0.0,0.0,25.77,7.45,0.0,Matara,5.94851,80.53528
20220804:1430,0.0,0.0,0.0,25.18,7.52,0.0,Matara,5.94851,80.53528
20220804:1530,0.0,0.0,0.0,24.93,8.14,0.0,Matara,5.94851,80.53528
20220804:1630,0.0,0.0,0.0,24.88,7.79,0.0,Matara,5.94851,80.53528
20220804:1730,0.0,0.0,0.0,25.13,7.93,0.0,Matara,5.94851,80.53528
20220804:1830,0.0,0.0,0.0,25.31,8.07,0.0,Matara,5.94851,80.53528
20220804:1930,0.0,0.0,0.0,25.45,7.93,0.0,Matara,5.94851,80.53528
20220804:2030,0.0,0.0,0.0,25.16,8.07,0.0,Matara,5.94851,80.53528
20220804:2130,0.0,0.0,0.0,25.45,7.66,0.0,Matara,5.94851,80.53528
20220804:2230,0.0,0.0,0.0,25.68,7.24,0.0,Matara,5.94851,80.53528
20220804:2330,0.0,0.0,0.0,25.59,7.31,0.0,Matara,5.94851,80.53528
20220805:0030,0.0,0.0,-1.54,25.72,7.31,0.0,Matara,5.94851,80.53528
20220805:0130,57.84,105.57,12.76,25.53,7.24,0.0,Matara,5.94851,80.53528
20220805:0230,219.95,294.6,27.1,26.0,6.97,0.0,Matara,5.94851,80.53528
20220805:0330,441.53,555.53,41.39,26.42,7.59,0.0,Matara,5.94851,80.53528
20220805:0430,556.13,697.8,55.48,26.68,7.59,0.0,Matara,5.94851,80.53528
20220805:0530,605.0,763.4,68.83,27.55,7.79,0.0,Matara,5.94851,80.53528
20220805:0630,611.91,774.25,78.42,27.38,7.93,0.0,Matara,5.94851,80.53528
20220805:0730,617.36,780.45,74.18,27.46,8.41,0.0,Matara,5.94851,80.53528
20220805:0830,480.25,606.32,61.77,28.28,8.21,0.0,Matara,5.94851,80.53528
20220805:0930,455.43,575.78,47.9,28.08,8.07,0.0,Matara,5.94851,80.53528
20220805:1030,271.03,351.12,33.68,27.24,8.0,0.0,Matara,5.94851,80.53528
20220805:1130,107.13,160.35,19.35,26.42,7.45,0.0,Matara,5.94851,80.53528
20220805:1230,5.75,24.76,5.02,26.25,6.69,0.0,Matara,5.94851,80.53528
20220805:1330,0.0,0.0,0.0,26.34,5.86,0.0,Matara,5.94851,80.53528
20220805:1430,0.0,0.0,0.0,25.51,5.66,0.0,Matara,5.94851,80.53528
20220805:1530,0.0,0.0,0.0,25.47,5.59,0.0,Matara,5.94851,80.53528
20220805:1630,0.0,0.0,0.0,25.55,5.45,0.0,Matara,5.94851,80.53528
