time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20230409:0230,263.37,350.6,27.77,28.28,4.48,0.0,Jaffna,9.66845,80.00742
20230409:0330,436.42,560.03,42.54,28.42,4.55,0.0,Jaffna,9.66845,80.00742
20230409:0430,536.33,689.68,57.33,28.87,4.62,0.0,Jaffna,9.66845,80.00742
20230409:0530,521.94,674.13,72.09,29.67,4.62,0.0,Jaffna,9.66845,80.00742
20230409:0630,622.1,811.39,86.38,29.89,4.9,0.0,Jaffna,9.66845,80.00742
20230409:0730,658.34,861.18,77.95,30.07,5.03,0.0,Jaffna,9.66845,80.00742
20230409:0830,523.08,673.74,63.22,30.07,5.24,0.0,Jaffna,9.66845,80.00742
20230409:0930,501.02,644.22,48.44,29.92,5.52,0.0,Jaffna,9.66845,80.00742
20230409:1030,355.49,462.51,33.66,29.59,5.38,0.0,Jaffna,9.66845,80.00742
20230409:1130,156.32,230.61,18.91,29.67,5.45,0.0,Jaffna,9.66845,80.00742
20230409:1230,5.83,28.45,4.2,29.53,5.66,0.0,Jaffna,9.66845,80.00742
20230409:1330,0.0,0.0,0.0,29.41,5.59,0.0,Jaffna,9.66845,80.00742
20230409:1430,0.0,0.0,0.0,29.09,5.38,0.0,Jaffna,9.66845,80.00742
20230409:1530,0.0,0.0,0.0,28.96,5.31,0.0,Jaffna,9.66845,80.00742
20230409:1630,0.0,0.0,0.0,28.98,5.31,0.0,Jaffna,9.66845,80.00742
20230409:1730,0.0,0.0,0.0,28.82,5.31,0.0,Jaffna,9.66845,80.00742
20230409:1830,0.0,0.0,0.0,28.76,5.24,0.0,Jaffna,9.66845,80.00742
20230409:1930,0.0,0.0,0.0,28.69,5.17,0.0,Jaffna,9.66845,80.00742
20230409:2030,0.0,0.0,0.0,28.38,4.83,0.0,Jaffna,9.66845,80.00742
20230409:2130,0.0,0.0,0.0,28.33,4.55,0.0,Jaffna,9.66845,80.00742
20230409:2230,0.0,0.0,0.0,28.05,4.55,0.0,Jaffna,9.66845,80.00742
20230409:2330,0.0,0.0,0.0,28.1,4.28,0.0,Jaffna,9.66845,80.00742
