time,P,G(i),H_sun,T2m,WS10m,Int,district,latitude,longitude
20220719:1730,0.0,0.0,0.0,26.38,3.38,0.0,Colombo,6.93548,79.84868
20220719:1830,0.0,0.0,0.0,26.35,3.72,0.0,Colombo,6.93548,79.84868
20220719:1930,0.0,0.0,0.0,26.24,3.17,0.0,Colombo,6.93548,79.84868
20220719:2030,0.0,0.0,0.0,26.01,2.55,0.0,Colombo,6.93548,79.84868
20220719:2130,0.0,0.0,0.0,25.89,2.41,0.0,Colombo,6.93548,79.84868
20220719:2230,0.0,0.0,0.0,25.78,2.62,0.0,Colombo,6.93548,79.84868
20220719:2330,0.0,0.0,0.0,25.09,1.66,0.0,Colombo,6.93548,79.84868
20220720:0030,0.0,0.0,-1.45,24.7,1.38,0.0,Colombo,6.93548,79.84868
20220720:0130,40.91,74.87,12.52,24.9,0.62,0.0,Colombo,6.93548,79.84868
20220720:0230,148.01,206.5,26.55,25.98,0.41,0.0,Colombo,6.93548,79.84868
20220720:0330,293.72,384.05,40.51,26.86,2.14,0.0,Colombo,6.93548,79.84868
20220720:0430,453.05,585.42,54.17,27.85,3.31,0.0,Colombo,6.93548,79.84868
20220720:0530,390.25,504.71,66.88,28.6,3.59,0.0,Colombo,6.93548,79.84868
20220720:0630,442.9,571.55,75.66,28.84,3.45,0.0,Colombo,6.93548,79.84868
20220720:0730,493.2,635.84,72.72,28.71,4.55,0.0,Colombo,6.93548,79.84868
20220720:0830,372.12,481.48,61.49,28.91,4.69,0.0,Colombo,6.93548,79.84868
20220720:0930,255.23,333.89,48.21,28.67,4.97,0.0,Colombo,6.93548,79.84868
20220720:1030,117.0,164.18,34.37,28.02,5.17,0.0,Colombo,6.93548,79.84868
20220720:1130,76.45,115.33,20.36,27.14,4.62,0.0,Colombo,6.93548,79.84868
20220720:1230,6.78,20.44,6.35,26.75,4.9,0.0,Colombo,6.93548,79.84868
20220720:1330,0.0,0.0,0.0,26.38,4.48,0.0,Colombo,6.93548,79.84868
20220720:1430,0.0,0.0,0.0,26.23,3.79,0.0,Colombo,6.93548,79.84868
20220720:1530,0.0,0.0,0.0,26.24,3.86,0.0,Colombo,6.93548,79.84868
20220720:1630,0.0,0.0,0.0,26.25,3.79,0.0,Colombo,6.93548,79.84868
20220720:1730,0.0,0.0,0.0,26.13,4.14,0.0,Colombo,6.93548,79.84868
20220720:1830,0.0,0.0,0.0,25.96,3.52,0.0,Colombo,6.93548,79.84868
20220720:1930,0.0,0.0,0.0,25.89,3.38,0.0,Colombo,6.93548,79.84868
20220720:2030,0.0,0.0,0.0,25.74,2.9,0.0,Colombo,6.93548,79.84868
20220720:2130,0.0,0.0,0.0,25.67,2.62,0.0,Colombo,6.93548,79.84868
20220720:2230,0.0,0.0,0.0,25.6,2.07,0.0,Colombo,6.93548,79.84868
20220720:2330,0.0,0.0,0.0,25.65,1.52,0.0,Colombo,6.93548,79.84868
20220721:0030,0.0,0.0,-1.49,25.32,1.17,0.0,Colombo,6.93548,79.84868
